b_A,mu,c,s,parm,init_pop_size,extinction,rescue,mean_fraction,mean_rescue_time,var_fraction,var_rescue_time
0.11,0.0,0.0003,1.0,2.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1.0,2.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1.0,2.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,0.1,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,0.1,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,0.1,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,0.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,0.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,0.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,1.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,1.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,1.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,1.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,1.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,1.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,2.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,2.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,2.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,0.001,0.1,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,0.001,0.1,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,0.001,0.1,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,0.001,0.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,0.001,0.5,100.0,1000,0,0.0,0.0,0.0,0.0
